key,id,area,part,count,cost,mvp?,mvp total,bought?,note,
perf_board,D1,pump,5V Pump,1,$24.95,1,$24.95,y,,
perf_board,IC3,pump,1N4001 diode,1,$1.50,1,$1.50,y,,
perf_board,IC4,pump,IRLB8721PbF (N-channel Power MOSFET),1,$2.25,1,$2.25,y,,
perf_board,D2,digital feedback,LLC200D3SH-LLPK1 Liquid Level Sensor,1,$24.95,1,$24.95,y,,
perf_board,,wiring,alligator test leads,1,$3.95,1,$3.95,y,,
perf_board,,wiring,"830 pin breadboard, wires, resistors, and power board",1,$4.95,1,$4.95,y,,
perf_board,,wiring,molex connector grab bag,1,$4.95,1,$4.95,y,,
perf_board,D7,digital feedback,USB C male to male micro USB male (programming),1,$2.95,1,$2.95,y,,
perf_board,IC1,digital feedback,Raspberry Pi Pico W with male headers,1,$20.00,1,$20.00,y,microcontroller for micropython,
perf_board,D5,power,9V DC 1000mA switching power adapter - UL listed,1,$7.95,1,$7.95,y,,
perf_board,R2,digital feedback,1 kΩ Resistor,1,,1,$0.00,y,,
perf_board,R3,digital feedback,10 kΩ Resistor,1,,1,$0.00,y,,
perf_board,R1,digital feedback,100 kΩ Resistor,1,,1,$0.00,y,,
perf_board,,structure,stand,1,$38.00,1,$38.00,y,,
perf_board,,structure,clamp,1,$19.00,1,$19.00,y,,
perf_board,,power,100uF 25V Capacitor,2,,1,$0.00,y,,
perf_board,,power,10uF 25V Capacitor,2,,1,$0.00,y,,
perf_board,,power,Red green power LED - High Brightness,2,,1,$0.00,y,,
perf_board,,digital feedback,3 pack 30 socket perfboard,3,$3.19,1,$9.57,no,A perfboard with a solderless breadboard format,
perf_board,,digital feedback,20 x 2.54mm through hole socket header female,2,$0.83,1,$1.66,no,,
perf_board,IC2,power,SMC 95SQ015,2,$0.99,1,$1.98,no,,
perf_board,D6,power,Breadboard-friendly 2.1mm DC barrel jack,2,$0.76,1,$1.52,no,,
perf_board,,power,LM317 TO-220 Voltage Regulator (1.5A max current) ,2,$0.56,1,$1.12,no,,
perf_board,,power,1N4004 Reverse Protection Diode,2,$0.10,1,$0.20,no,,
perf_board,,power,0.1uF 50V Capacitor,2,$0.34,1,$0.68,no,,
perf_board,,power,SPDT Slide Switch 500mA,1,$0.45,1,$0.45,no,power on/off (resets the pi),
perf_board,"R3, R5",power,240Ω Resistor 1/6W,4,$0.18,2,$1.40,no,,
perf_board,IC6,digital feedback,74AHCT125 - Quad Level-Shifter (3V to 5V) - 74AHCT125,1,$0.66,1,$0.66,no,,
perf_board,,structure,pcb rubber feet,8,$0.38,1,$3.00,no,,
perf_board,R4,power,732 Ω 1/6 W,2,$0.10,1,$0.20,no,5.06V at 732 Ohms,
perf_board,R6,power,390 Ω 1/6 W,2,$0.10,1,$0.20,no,3.28V at 390 Ohms,
perf_board,D8,power,Positive Temperature Coefficient PTC Resettable Fuse 1 amp,1,,1,$0.00,no,RXEF Littelfuse PolySwitch radial-leaded ,imma skip this since at least the amazon power supply says it has protection lol
perf_board,D10,structure,3 pack 30 socket perfboard,3,$3.19,1,$9.57,no,A perfboard with a solderless breadboard format,
perf_board,"D11, D12",structure,20 x 2.54mm through hole socket header female,4,$0.83,1,$3.32,no,,
perf_board,IC2,power,SMC 95SQ015,2,$0.99,1,$1.98,no,,
perf_board,D6,power,Breadboard-friendly 2.1mm DC barrel jack,2,$0.76,1,$1.52,no,,
perf_board,"IC5, IC8",power,LM317 TO-220 Voltage Regulator (1.5A max current) ,2,$0.56,1,$1.12,no,,
perf_board,D7,power,1N4004 Reverse Protection Diode,2,$0.10,1,$0.20,no,,
perf_board,"C1, C2",power,0.1uF 50V Capacitor,2,$0.34,1,$0.68,no,,
perf_board,D9,power,SPDT Slide Switch 500mA,1,$0.45,1,$0.45,no,power on/off (resets the pi),
perf_board,IC6,digital feedback,74AHCT125 - Quad Level-Shifter (3V to 5V) - 74AHCT125,1,$0.66,1,$0.66,no,,
perf_board,"D13, D14, D15, D16",structure,pcb rubber feet,8,$0.38,1,$3.00,no,,
perf_board,R4,power,732 Ω 1/6 W,2,$0.10,1,$0.20,no,5.06V at 732 Ohms,
perf_board,R6,power,390 Ω 1/6 W,2,$0.10,1,$0.20,no,3.28V at 390 Ohms,
perf_board,"R3, R5",power,240Ω Resistor 1/6W,4,$0.10,1,$0.40,no,,
pcb,,,,,,,,,,
bread_board,D1,pump,5V Pump,1,$25,1,$25,y,motor current 500 mA,
bread_board,IC3,pump,1N4001 diode,1,$2,1,$2,y,,
